definition_wn,answer_wn,label,predicted_label,predicted_probability,definition,answer,surface,def_num_usable_synsets,ans_num_usable_synsets,distractor_source,cos_w1clue_w1all,cos_w1clue_w1common,cos_w1clue_w1obscure,cos_w1clue_w2all,cos_w1clue_w2common,cos_w1clue_w2obscure,wn_rel_hypernym,wn_rel_hypernym_of_hypernym,wn_rel_hypernym_of_hyponym,wn_rel_hyponym,wn_rel_hyponym_of_hypernym,wn_rel_hyponym_of_hyponym,wn_rel_hyponym_of_part_holonym,wn_rel_hyponym_of_part_meronym,wn_rel_member_meronym,wn_rel_member_meronym_of_member_holonym,wn_rel_part_holonym,wn_rel_part_holonym_of_hypernym,wn_rel_part_holonym_of_hyponym,wn_rel_part_holonym_of_part_meronym,wn_rel_part_meronym,wn_rel_part_meronym_of_hypernym,wn_rel_part_meronym_of_hyponym,wn_rel_substance_meronym,wn_rel_substance_meronym_of_hyponym,wn_rel_synonym,wn_max_path_sim,wn_shared_synset_count,surface_edit_distance,surface_length_ratio,surface_shared_first_letter,surface_char_overlap_ratio
biscuit,water,1,0,0.36,biscuit,WATER,Chestnut or biscuit?,2,10,,0.7444934248924255,0.7119705677032471,0.7051782608032227,0.5662282705307007,0.4394717812538147,0.5819741487503052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,7,0.7142857142857143,0,0.1
stroke,butterfly,1,0,0.46,stroke,BUTTERFLY,"Bowled, completely smothering fine stroke",16,5,,0.7616072297096252,0.592998743057251,0.1425609439611435,0.5404748916625977,0.4383905231952667,0.21937468647956848,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,7,0.6666666666666666,0,0.2727272727272727
series,trilogies,1,0,0.19,Series,TRILOGIES,Series of cracks covering one piece of wood,7,1,,0.8139486312866211,0.8431671857833862,0.5568239092826843,0.6662496328353882,0.6662496328353882,0.6662496328353882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,6,0.6666666666666666,0,0.5
disorder,derangement,1,0,0.15,Disorder,DERANGEMENT,Disorder of some French chaps taking time crossing mountains,5,2,,0.7877654433250427,0.5743665099143982,0.7368522882461548,0.7716707587242126,0.7989584803581238,0.6620121002197266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,9,0.7272727272727273,1,0.2727272727272727
country,south_korea,1,0,0.425,country,SOUTH KOREA,Our hot sake is brewed in country,5,1,,0.8912079334259033,0.6785430908203125,0.8325144052505493,0.5519070625305176,0.5519070625305176,0.5519070625305176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.6363636363636364,0,0.3076923076923077
drive_out,expel,1,0,0.375,Drive out,EXPEL,Drive out European in old place,3,4,,0.7199919819831848,0.6877251267433167,0.652307391166687,0.7747440338134766,0.74248206615448,0.6632529497146606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.5555555555555556,0,0.08333333333333333
drink,squash,1,0,0.215,drink,SQUASH,Put down   drink,10,4,,0.8342651724815369,0.8159726858139038,0.48298385739326477,0.5988715887069702,0.5697122812271118,0.41490811109542847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,6,0.8333333333333334,0,0.0
low-down,sunken,1,0,0.43,Low-down,SUNKEN,Low-down on paper doll?,3,10,,0.7375385761260986,0.7018903493881226,0.5345227718353271,0.5277894735336304,0.45626118779182434,0.4270579218864441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,7,0.75,0,0.1
stage,rostrum,1,0,0.455,Stage,ROSTRUM,Stage for beginners of rock to play,10,2,,0.8091458678245544,0.4212712049484253,0.4179772436618805,0.5652613639831543,0.6841825246810913,0.31505322456359863,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.7142857142857143,0,0.2222222222222222
breeches,lederhosen,1,0,0.36,breeches,LEDERHOSEN,Holder seen wearing breeches,2,1,,0.7247538566589355,0.7890589833259583,0.5509823560714722,0.7559662461280823,0.7559662461280823,0.7559662461280823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,0.8,0,0.4
wilful,perverse,1,0,0.225,Wilful,PERVERSE,Wilful agent sent back poetry,2,3,,0.8237637281417847,0.8039007782936096,0.7779608964920044,0.677510142326355,0.5942111015319824,0.6079326272010803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.75,0,0.0
cards,pack,1,0,0.275,cards,PACK,Cram cards,14,22,,0.7720838785171509,0.6829245090484619,0.5625395774841309,0.6198617219924927,0.7139973044395447,0.2099255472421646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,4,0.8,0,0.2857142857142857
commission,errand,1,0,0.335,Commission,ERRAND,Commission executed amongst leaderless crowd,12,1,,0.8333209753036499,0.7922416925430298,0.7183080911636353,0.5285636186599731,0.5285639762878418,0.5285636186599731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,10,0.6,0,0.1
pale,sallow,1,0,0.205,Pale,SALLOW,"Pale, but superficial cut by hospital",7,3,,0.8201147317886353,0.6864684820175171,0.7595774531364441,0.7243446111679077,0.6379566192626953,0.6957514882087708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,4,0.6666666666666666,0,0.2857142857142857
celebrity,star,1,0,0.34,Celebrity,STAR,Celebrity that’s knocked over by despicable people,2,12,,0.7835100293159485,0.6597891449928284,0.7067573070526123,0.6924476623535156,0.2850522994995117,0.6052602529525757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,8,0.4444444444444444,0,0.2
tout,barker,1,0,0.245,tout,BARKER,One earning crust from bread engages right tout,5,2,,0.44175800681114197,0.397727906703949,0.41422024369239807,0.39039966464042664,0.35889962315559387,0.358334481716156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,6,0.6666666666666666,0,0.0
poor,indigent,1,0,0.38,Poor,INDIGENT,Poor country deserted by last fellow,7,1,,0.7683435082435608,0.5609890818595886,0.6297299861907959,0.661087155342102,0.661087155342102,0.661087155342102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.5,0,0.0
quite,pretty,1,0,0.475,Quite,PRETTY,Quite narrow-minded Republican interrupts,4,3,,0.7284479141235352,0.7248829007148743,0.6871446371078491,0.5327208042144775,0.5386313199996948,0.49547260999679565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.8333333333333334,0,0.25
loose,set_free,1,0,0.355,Loose,SET FREE,Loose end to women’s tennis match in east London?,18,1,,0.5626887679100037,0.6105159521102905,0.4662453532218933,0.3954891562461853,0.3954891562461853,0.3954894542694092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,0.625,0,0.25
leaning,bowing,1,0,0.445,Leaning,BOWING,Leaning forward playing the cello?,10,8,,0.6979259848594666,0.3450198471546173,0.697474479675293,0.5291661024093628,0.4766639173030853,0.479656845331192,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,4,0.8571428571428571,0,0.3333333333333333
playboy,sybarite,1,0,0.355,playboy,SYBARITE,Bestiary is maintained by playboy,1,1,,0.751273512840271,0.751273512840271,0.751273512840271,0.6075483560562134,0.6075491905212402,0.6075483560562134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,0.875,0,0.2727272727272727
scoff,ingest,1,0,0.345,Scoff,INGEST,"Scoff jokingly, aloud",3,2,,0.7941039800643921,0.8041092753410339,0.6926125288009644,0.5777912139892578,0.5559984445571899,0.5190816521644592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,6,0.8333333333333334,0,0.1111111111111111
sucker,lamprey,1,0,0.49,sucker,LAMPREY,"Beat victim, a sucker",7,1,,0.566807210445404,0.822287917137146,0.34432047605514526,0.2759619355201721,0.27596187591552734,0.27596187591552734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,6,0.8571428571428571,0,0.18181818181818182
send_off,dismiss,1,0,0.455,Send off,DISMISS,Send off detective inspector's girl,3,6,,0.45500093698501587,0.42692774534225464,0.3523494005203247,0.6212183237075806,0.5837967991828918,0.22682207822799683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,8,0.875,0,0.2222222222222222
unconscious,automatic,1,0,0.39,Unconscious,AUTOMATIC,Unconscious in car,4,5,,0.6677297949790955,0.6298133730888367,0.3552219867706299,0.5785198211669922,0.6322689652442932,0.3514161705970764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,9,0.8181818181818182,0,0.4444444444444444
collide,run_into,1,0,0.465,Collide,RUN INTO,"Collide with neutrino, energy given up in decay",3,4,,0.9083082675933838,0.8258539438247681,0.8136568069458008,0.675639808177948,0.5460227131843567,0.7039781212806702,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,7,0.875,0,0.18181818181818182
climber,liana,1,0,0.25,Climber,LIANA,"Climber, one’s seen in wood",5,1,,0.8828601837158203,0.7439455986022949,0.7568212747573853,0.5908303260803223,0.5908303260803223,0.5908303260803223,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.7142857142857143,0,0.2222222222222222
hiding_places,lairs,1,0,0.33,hiding places,LAIRS,Diamonds stolen from landowner’s hiding places,1,1,,0.6660856008529663,0.6660856008529663,0.6660857796669006,0.61067795753479,0.6106777191162109,0.61067795753479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,10,0.38461538461538464,0,0.3076923076923077
tropic,capricorn,1,0,0.16,Tropic,CAPRICORN,Tropic island produce,3,3,,0.6480185985565186,0.6540224552154541,0.5704318881034851,0.6605402231216431,0.6569900512695312,0.5410193204879761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,7,0.6666666666666666,0,0.625
bouncy,elastic,1,0,0.24,Bouncy,ELASTIC,Bouncy castle I played with,2,4,,0.7687790393829346,0.6845985054969788,0.7365163564682007,0.6774800419807434,0.5256310701370239,0.5929059386253357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,7,0.8571428571428571,0,0.08333333333333333
illness,ailment,1,0,0.165,illness,AILMENT,Partially curtail mental illness,1,1,,0.7867640256881714,0.7867639064788818,0.7867640256881714,0.7133910059928894,0.7133916616439819,0.7133910059928894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,5,1.0,0,0.5
secure,gird,1,0,0.255,Secure,GIRD,Secure gear climbing first in Dolomites,11,3,,0.7524024248123169,0.5860310196876526,0.7640011310577393,0.7139654159545898,0.6941417455673218,0.5652346611022949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.6666666666666666,0,0.125
pot,tankard,1,0,0.28,Pot,TANKARD,Pot if tense? Head of agency drank bubbly,10,1,,0.817794680595398,0.7396097779273987,0.6448073387145996,0.7613270282745361,0.7613270878791809,0.7613270878791809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,0.42857142857142855,0,0.125
absolutely,right,1,0,0.445,Absolutely,RIGHT,What authors do to listeners? Absolutely,2,36,,0.6279627680778503,0.602444589138031,0.6146901845932007,0.5560463666915894,0.20695659518241882,0.5439289808273315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,9,0.5,0,0.07692307692307693
bias,bigotry,1,0,0.325,bias,BIGOTRY,Great essay possesses zero  bias,5,1,,0.767627477645874,0.8717739582061768,0.6946009993553162,0.5444775819778442,0.5444773435592651,0.5444773435592651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,5,0.5714285714285714,1,0.2222222222222222
particle,positron,1,0,0.36,particle,POSITRON,"Correct, sport — ion is a particle",3,1,,0.903559684753418,0.8828001022338867,0.7696632146835327,0.730043888092041,0.7300442457199097,0.730043888092041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,1.0,1,0.36363636363636365
spirit,wraith,1,0,0.43,Spirit,WRAITH,Spirit of one consumed by rage,9,1,,0.8917396068572998,0.8139779567718506,0.6548570990562439,0.565380334854126,0.5653794407844543,0.565380334854126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,5,1.0,0,0.375
melody,descant,1,0,0.295,melody,DESCANT,Unfortunate act ends melody,2,4,,0.6814383268356323,0.6652258038520813,0.646710991859436,0.5657539963722229,0.610166072845459,0.2680724561214447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,6,0.8571428571428571,0,0.18181818181818182
circle,roundel,1,0,0.27,Circle,ROUNDEL,Circle Line goes under rough earth,11,3,,0.8887113332748413,0.8600782155990601,0.8763163089752197,0.636833667755127,0.5729632377624512,0.5870987772941589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,6,0.8571428571428571,0,0.3333333333333333
obsession,craze,1,0,0.305,Obsession,CRAZE,Obsession of bird turning North to sleep soundly,2,5,,0.7724391222000122,0.7624341249465942,0.7451832294464111,0.6155523061752319,0.7268548607826233,0.10518323630094528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,9,0.5555555555555556,0,0.1
subordinate,vassal,1,0,0.32,Subordinate,VASSAL,Subordinate as slave endlessly mistreated,7,1,,0.704486608505249,0.8127620220184326,0.4134369492530823,0.7701367139816284,0.7701367139816284,0.7701367139816284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,10,0.5454545454545454,0,0.15384615384615385
flash,flare,1,0,0.5,Flash,FLARE,"Flash gift, by the sound of it?",19,15,,0.8171316981315613,0.8736047744750977,0.5327058434486389,0.7828920483589172,0.4219675660133362,0.41210711002349854,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1,2,1.0,1,0.42857142857142855
dust,sweep,1,0,0.27,Dust,SWEEP,Dust benches erected around start of evensong,7,15,,0.6509859561920166,0.5348714590072632,0.5544075965881348,0.6060172319412231,0.5125169157981873,0.42659980058670044,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.8,0,0.14285714285714285
cave_in,subside,1,0,0.15,cave in,SUBSIDE,Replacement players cave in,2,4,,0.7526847124099731,0.6492360234260559,0.7837013006210327,0.7841771841049194,0.7227113246917725,0.6982468366622925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,7,1.0,0,0.18181818181818182
trick,subterfuge,1,0,0.25,Trick,SUBTERFUGE,Trick ref and get United flying — on a roll,8,1,,0.33769673109054565,0.19961772859096527,0.314354807138443,0.3068743050098419,0.3068740963935852,0.3068740963935852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07692307692307693,0,8,0.5,0,0.18181818181818182
complaint,cholera,1,0,0.43,complaint,CHOLERA,Gap right in the middle of California causes complaint,5,1,,0.6824586987495422,0.7438392639160156,0.5006149411201477,0.481090247631073,0.48109006881713867,0.4810899496078491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,7,0.7777777777777778,1,0.3333333333333333
regretting,ruing,1,0,0.45,Regretting,RUING,Regretting the absence of law in the judgement,4,1,,0.764803409576416,0.7174841165542603,0.47866055369377136,0.6817952990531921,0.6817952990531921,0.6817952990531921,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,6,0.5,1,0.5714285714285714
warder,beefeater,1,0,0.17,Warder,BEEFEATER,Warder beginning to exaggerate achievement during drink,1,1,,0.793789267539978,0.7937893867492676,0.793789267539978,0.7586776614189148,0.7586776614189148,0.7586776614189148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,7,0.6666666666666666,0,0.375
telephone,dial,1,0,0.255,Telephone,DIAL,Telephone put back,3,6,,0.8570137023925781,0.7800318002700806,0.7351856231689453,0.7439701557159424,0.6637954711914062,0.5091361403465271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.14285714285714285,0,9,0.4444444444444444,0,0.1
reschedule,postpone,1,0,0.125,Reschedule,POSTPONE,Reschedule appointment with leader of promising musicians from the east,1,1,,0.8832317590713501,0.8832317590713501,0.8832317590713501,0.7867953181266785,0.7867952585220337,0.7867953181266785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,8,0.8,0,0.16666666666666666
national_park,yosemite,1,0,0.145,national park,YOSEMITE,Some yeti going around national park,1,1,,0.7531032562255859,0.753103494644165,0.7531040906906128,0.6902410387992859,0.6902419328689575,0.6902413368225098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333333333333333,0,12,0.6153846153846154,0,0.21428571428571427
fish,flounder,1,0,0.435,fish,FLOUNDER,Lake creator’s imported fish,6,4,,0.9317547082901001,0.8918565511703491,0.9456837773323059,0.6121025085449219,0.7149623036384583,0.2815578877925873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,7,0.5,1,0.09090909090909091
swear,allege,1,0,0.35,Swear,ALLEGE,Swear as member drowning in beer,5,1,,0.6857889294624329,0.743162989616394,0.38840270042419434,0.5928835272789001,0.5928835272789001,0.5928835272789001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666666666666666,0,5,0.8333333333333334,0,0.2857142857142857
unyielding,hardline,1,0,0.35,Unyielding,HARDLINE,Unyielding as Left or Right here?,2,1,,0.7793533802032471,0.7482286691665649,0.7385792136192322,0.6824332475662231,0.6824332475662231,0.6824332475662231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,7,0.8,0,0.45454545454545453
together,united,1,0,0.3,together,UNITED,A French diet blended together,7,8,,0.784283459186554,0.7062333822250366,0.6861990690231323,0.6408298015594482,0.47716808319091797,0.6763594150543213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,6,0.75,0,0.2
sympathetic,humane,1,0,0.295,Sympathetic,HUMANE,Sympathetic article penned by cardinal once,6,3,,0.8122118711471558,0.39371204376220703,0.48273444175720215,0.7610680460929871,0.7195985913276672,0.6896746158599854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,8,0.5454545454545454,0,0.3333333333333333
bash,pound,1,0,0.365,bash,POUND,Tender from bash,3,22,,0.7208584547042847,0.5492412447929382,0.7306177616119385,0.553642749786377,0.3948028087615967,0.34507593512535095,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.8,0,0.0
border,apron,1,0,0.275,Border,APRON,"Border, one almost laid flat",10,4,,0.9113816022872925,0.8267664909362793,0.820052981376648,0.7184283137321472,0.4864424467086792,0.611004114151001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,5,0.8333333333333334,0,0.25
short,tot,1,0,0.205,Short,TOT,Short child,23,3,,0.6650830507278442,0.58935546875,0.30453112721443176,0.5813819766044617,0.4303630590438843,0.4849436283111572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,3,0.6,0,0.4
delicious,sweet,1,0,0.26,Delicious,SWEET,Delicious cake cut by wife on vacation,3,16,,0.7398325800895691,0.5961030721664429,0.6454538106918335,0.7005422711372375,0.6173160672187805,0.6793904304504395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,9,0.5555555555555556,0,0.2
theatre_of_war,crimea,1,0,0.37,theatre of war,CRIMEA,Something deplorable accepted in theatre of war,1,1,,0.7833264470100403,0.7833264470100403,0.7833264470100403,0.5474501848220825,0.5474497079849243,0.5474497079849243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,12,0.42857142857142855,0,0.25
get_rid_of,shed,1,0,0.405,Get rid of,SHED,Get rid of outhouse,3,6,,0.6033467650413513,0.5806598663330078,0.5894443988800049,0.6194989681243896,0.22499193251132965,0.40725117921829224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,9,0.4,0,0.18181818181818182
undistinguished,nondescript,1,0,0.36,undistinguished,NONDESCRIPT,Drama with end ruined by writing that's undistinguished,1,2,,0.7132421731948853,0.7132421731948853,0.7132421731948853,0.6664791107177734,0.6392205357551575,0.609585165977478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,12,0.7333333333333333,0,0.46153846153846156
bird,eaglet,1,0,0.35,Bird,EAGLET,"Bird, elegant in flight, has no name given to it",6,1,,0.924156665802002,0.9113975763320923,0.9129846096038818,0.7773118019104004,0.7773118019104004,0.7773118019104004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,6,0.6666666666666666,0,0.0
spray,nosegay,1,0,0.425,spray,NOSEGAY,Indeed canning goes wrong for spray,9,1,,0.8126103281974792,0.7497649192810059,0.4731762111186981,0.5246322154998779,0.524631917476654,0.524631917476654,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,4,0.7142857142857143,0,0.3333333333333333
violent,powerful,1,0,0.3,Violent,POWERFUL,Violent wolf: pure crazy,5,6,,0.7615063190460205,0.7021939754486084,0.7665664553642273,0.6091370582580566,0.3674164414405823,0.5538284778594971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,7,0.875,0,0.25
abruptly,all_of_a_sudden,1,0,0.475,abruptly,ALL OF A SUDDEN,"When caught by reckless foul, landed abruptly",1,2,,0.6842824220657349,0.6842824220657349,0.6842824220657349,0.5105339884757996,0.4641995429992676,0.5335403084754944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,13,0.5333333333333333,1,0.2
arab,iraqi,1,0,0.14,Arab,IRAQI,One artist on TV quiz show is Arab,2,2,,0.6071199178695679,0.7117327451705933,0.3870941400527954,0.5566344261169434,0.5122020840644836,0.524463415145874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,3,0.8,0,0.4
remains,residue,1,0,0.28,Remains,RESIDUE,Remains at lodge around Utah boundary,6,2,,0.65934157371521,0.6283953189849854,0.648324728012085,0.7131896018981934,0.6947967410087585,0.7122538685798645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,5,1.0,1,0.4444444444444444
urge,egg_on,1,0,0.285,Urge,EGG ON,Urge horse to take disabled one around,5,1,,0.6977492570877075,0.2832224369049072,0.7203463315963745,0.551742434501648,0.5517432689666748,0.5517432689666748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,5,0.6666666666666666,0,0.2857142857142857
romantic,ideal,1,0,0.235,Romantic,IDEAL,Romantic proposal by novice,5,5,,0.8244520425796509,0.7656972408294678,0.7072201371192932,0.6026479601860046,0.5072206258773804,0.5059775114059448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,7,0.625,0,0.18181818181818182
timber,beechwood,1,0,0.11,timber,BEECHWOOD,"Audibly sands court door, primarily timber",5,1,,0.7703337669372559,0.7227383255958557,0.48192456364631653,0.7073543071746826,0.707353949546814,0.707353949546814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,9,0.6666666666666666,0,0.18181818181818182
aircraft,seaplane,1,0,0.26,aircraft,SEAPLANE,Black’s proposal to get English aircraft,1,2,,0.8519564867019653,0.8519564867019653,0.851956844329834,0.6803224086761475,0.7384141087532043,0.5712711811065674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,7,1.0,0,0.09090909090909091
kindness,good_nature,1,0,0.235,kindness,GOOD NATURE,Drawn-out ego trips dispensing with kindness,3,1,,0.8091659545898438,0.8958151936531067,0.6319287419319153,0.6370967030525208,0.6370967030525208,0.6370967030525208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,9,0.7272727272727273,0,0.23076923076923078
authority,doyenne,1,0,0.415,Authority,DOYENNE,Authority conned to accept foreigner’s cash,7,1,,0.7435420751571655,0.5608182549476624,0.4278789758682251,0.5531933903694153,0.5531933903694153,0.5531934499740601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,9,0.7777777777777778,0,0.18181818181818182
bird,redstart,1,0,0.26,bird,REDSTART,"Seen before dawn, very rare bird",6,2,,0.9035288691520691,0.9215458035469055,0.8336601257324219,0.6651089191436768,0.6016945242881775,0.700313925743103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,7,0.5,0,0.25
design,draw,1,0,0.355,Design,DRAW,Design department coming up,14,45,,0.7745421528816223,0.6337450742721558,0.4933379888534546,0.5250328779220581,0.4112815856933594,0.32952040433883667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,5,0.6666666666666666,1,0.1111111111111111
mixed_drink,shandy,1,0,0.165,mixed drink,SHANDY,Alexander imbibing hot mixed drink,1,1,,0.8105111122131348,0.810511589050293,0.810511589050293,0.7762680649757385,0.7762680649757385,0.7762680649757385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,10,0.5454545454545454,0,0.15384615384615385
furnish,endue,1,0,0.06,Furnish,ENDUE,"Furnish menus, dinner regularly brought round",2,1,,0.8374577760696411,0.7606111764907837,0.797110915184021,0.6840856075286865,0.6840853691101074,0.6840856075286865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,6,0.7142857142857143,0,0.2222222222222222
ineffectual,lackadaisical,1,0,0.295,ineffectual,LACKADAISICAL,"Want one state to adopt a platform, being ineffectual",3,2,,0.8701915144920349,0.7798979878425598,0.7651757001876831,0.7489221096038818,0.7508796453475952,0.6657935380935669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,11,0.8461538461538461,0,0.3333333333333333
