clue_id,definition,answer_wn,distractor_wn,anchor,positive,negative
318663,Join,knit,allied,<t>Join</t> fool in audition,<t>knit</t>: a fabric made by knitting,"<t>allied</t>: become an ally or associate, as by a treaty or marriage"
318670,Cantankerous,stroppy,raunchy,<t>Cantankerous</t> agent drinking wine sent back,<t>stroppy</t>: obstreperous,<t>raunchy</t>: earthy and sexually explicit
318672,Window frames,sashes,charts,<t>Window frames</t> the girl in elite forces,<t>sashes</t>: a framework that holds the panes of a window in the window frame,<t>charts</t>: a visual display of information
318673,Pictures,images,mirages,<t>Pictures</t> one married a long time,<t>images</t>: an iconic mental representation,<t>mirages</t>: an optical illusion in which atmospheric refraction by a layer of hot air distorts or inverts reflections of distant objects
318679,Watch,spectate,observes,<t>Watch</t> people welcoming policeman full of energy,<t>spectate</t>: be a spectator in a sports event,"<t>observes</t>: discover or determine the existence, presence, or fact of"
318682,game,sardines,rigmarole,"On board ship, a diner ordered <t>game</t>",<t>sardines</t>: small fatty fish usually canned,<t>rigmarole</t>: a set of confused and meaningless statements
318685,attack,strafe,rap,Set out to hold fliers for <t>attack</t>,<t>strafe</t>: an attack of machine-gun fire or cannon fire from a low flying airplane,<t>rap</t>: a reproach for some lapse or misdeed
318696,examination,test,tryouts,Not all candidates take an <t>examination</t>,<t>test</t>: trying something to find out about it,<t>tryouts</t>: trying something to find out about it
318709,Beryl,emerald,garnets,<t>Beryl</t> gives remedial treatment without electric current,<t>emerald</t>: a green transparent form of beryl; highly valued as a gemstone,<t>garnets</t>: any of a group of hard glassy minerals (silicates of various metals) used as gemstones and as an abrasive
318710,Businessperson,importer,shopper,<t>Businessperson</t> of significance starts to expect results,<t>importer</t>: someone whose business involves importing goods from outside (especially from a foreign country),<t>shopper</t>: someone who visits stores in search of articles to buy
318718,Discard,jettison,excommunicating,<t>Discard</t> black metal boxes thus,"<t>jettison</t>: throw away, of something encumbering",<t>excommunicating</t>: exclude from a church or a religious community
318719,Clothing,undies,bomber_jacket,<t>Clothing</t> becomes a zombie?,<t>undies</t>: women's underwear,<t>bomber jacket</t>: a jacket gathered into a band at the waist
318724,Spirit,ethos,decrepitude,<t>Spirit</t> shown by ancient character — mariner?,<t>ethos</t>: (anthropology) the distinctive spirit of a culture or an era,<t>decrepitude</t>: a state of deterioration due to old age or long use
318727,drink,lemonade,gobs,"Working inside, the French produced some <t>drink</t>",<t>lemonade</t>: sweetened beverage of diluted lemon juice,<t>gobs</t>: a large number or amount
318728,game,tennis,roles,Slip catch turned <t>game</t>,<t>tennis</t>: a game played with rackets by two or four players who hit a ball back and forth over a net that divides the court,<t>roles</t>: the actions and activities assigned to or required or expected of a person or group
318741,Seen,sighted,ascertained,"<t>Seen</t>, but referred to as heard",<t>sighted</t>: catch sight of; to perceive with the eyes,"<t>ascertained</t>: establish after a calculation, investigation, experiment, survey, or study"
318746,coach,school,arrangers,"Second check by John, reversing <t>coach</t>",<t>school</t>: an educational institution,<t>arrangers</t>: a person who brings order and organization to an enterprise
318747,craft,shrimper,science,"Not a sound hairdresser, principally lacking <t>craft</t>",<t>shrimper</t>: a vessel engaged in shrimping,<t>science</t>: a particular branch of scientific knowledge
318756,earthenware,majolica,chipboard,"Spread about bowls in clay, evenly firing to produce <t>earthenware</t>",<t>majolica</t>: highly decorated earthenware with a glaze of tin oxide,<t>chipboard</t>: a cheap hard material made from wood chips that are pressed together and bound with synthetic resin
318769,Cheer,schnitzel,chides,"<t>Cheer</t> school raising money, unknown number content to help",<t>schnitzel</t>: deep-fried breaded veal cutlets,<t>chides</t>: censure severely or angrily
318773,Mini,teensy,lesser,"Note Glen, busy getting fifty per cent off <t>Mini</t>",<t>teensy</t>: (used informally) very small,<t>lesser</t>: of less size or importance
318777,film director,coppola,talent_scouts,Couple of pages penned by marvellous American <t>film director</t>,<t>coppola</t>: United States filmmaker (born in 1939),<t>talent scouts</t>: someone employed to discover and recruit talented persons (especially in the worlds of entertainment or sports)
318781,impostor,charlatan,suffragan,Church altar misused by an <t>impostor</t>,<t>charlatan</t>: a flamboyant deceiver; one who attracts customers with tricks or jokes,<t>suffragan</t>: an assistant or subordinate bishop of a diocese
318786,Apportion,allot,dispatch,<t>Apportion</t> a return of tax,<t>allot</t>: give out,<t>dispatch</t>: an official report (usually sent in haste)
318793,Rings,hoops,caps,<t>Rings</t> hotel over my mistake,<t>hoops</t>: a game played on a court by two opposing teams of 5 players; points are scored by throwing the ball through an elevated horizontal hoop,<t>caps</t>: a tight-fitting headdress
318795,Iron,press,chipboard,<t>Iron</t>  clasp,<t>press</t>: the state of demanding notice or attention,<t>chipboard</t>: a cheap hard material made from wood chips that are pressed together and bound with synthetic resin
318800,Joint,topside,fork,<t>Joint</t> best team,<t>topside</t>: (usually plural) weather deck; the part of a ship's hull that is above the waterline,<t>fork</t>: cutlery used for serving and eating food
318804,military plane,bomber,airliner,A former enemy carrying doctor in <t>military plane</t>,<t>bomber</t>: a military aircraft that drops bombs during flight,<t>airliner</t>: a commercial airplane that carries passengers
318808,Dashing,rakish,trouncing,<t>Dashing</t> and reckless — one king about to be captured,<t>rakish</t>: marked by up-to-dateness in dress and manners,<t>trouncing</t>: a sound defeat
318816,Plant,agrimony,docks,<t>Plant</t> on a grimy ground,<t>agrimony</t>: a plant of the genus Agrimonia having spikelike clusters of small yellow flowers,<t>docks</t>: an enclosure in a court of law where the defendant sits during the trial
318838,cross,traverse,sweep,Technique backward-looking with bit of poetry? Makes one <t>cross</t>,<t>traverse</t>: a horizontal beam that extends across something,<t>sweep</t>: a wide scope
318842,Numbers,eights,numerator,<t>Numbers</t> in ‘igh-up positions,<t>eights</t>: the cardinal number that is the sum of seven and one,<t>numerator</t>: the dividend of a fraction
318864,Strip,denude,mount,<t>Strip</t> from guy embodying Chippendales’ heart,<t>denude</t>: lay bare,<t>mount</t>: a lightweight horse kept for riding only
318867,spirits,morale,indisposition,Beer chasing further interminable <t>spirits</t>,<t>morale</t>: a state of individual psychological well-being based upon a sense of confidence and usefulness and purpose,<t>indisposition</t>: a slight illness
318870,hard liquor,scotch,bisque,Put a stop to <t>hard liquor</t>,<t>scotch</t>: a slight surface cut (especially a notch that is made to keep a tally),<t>bisque</t>: a thick cream soup made from shellfish
318871,Criminal,prisoner,foul,"<t>Criminal</t> is consumed by lying, right?",<t>prisoner</t>: a person who is confined; especially a prisoner of war,<t>foul</t>: an act that violates the rules of a sport
318878,Weapon,sidearm,poniard,<t>Weapon</t> is excessive in video game,<t>sidearm</t>: (of pitches) made with the arm moving parallel to the ground,<t>poniard</t>: a dagger with a slender blade
318882,tangle,dishevel,twine,Attractive person left to embrace woman in <t>tangle</t>,<t>dishevel</t>: disarrange or rumple; dishevel,<t>twine</t>: a lightweight cord
318883,waterways,canals,piste,Containers carrying nearly everything finding <t>waterways</t>,<t>canals</t>: (astronomy) an indistinct surface feature of Mars once thought to be a system of channels; they are now believed to be an optical illusion,<t>piste</t>: a flat rectangular area for fencing bouts
318885,Start,beginning,pass,<t>Start</t> living swallowing drink before noon,<t>beginning</t>: the event consisting of the start of something,<t>pass</t>: (baseball) an advance to first base by a batter who receives four balls
318905,Capacity,content,calibre,<t>Capacity</t> to provide satisfaction,<t>content</t>: everything that is included in a collection and that is held or included in something,<t>calibre</t>: a degree or grade of excellence or worth
318908,results,products,sources,Modified crop study shortly will deliver <t>results</t>,<t>products</t>: commodities offered for sale,"<t>sources</t>: the place where something begins, where it springs into being"
318910,Quarrel,disagree,spats,<t>Quarrel</t> said to erupt with sarcastic expression describing Republican,<t>disagree</t>: be of different opinions,<t>spats</t>: a quarrel about petty points
318930,studies,treatises,analyze,"Failing strategies, lacking input from good <t>studies</t>",<t>treatises</t>: a formal exposition,<t>analyze</t>: consider in detail and subject to an analysis in order to discover essential features or meaning
318932,religious text,ezra,allegory,Zulu queen clutches a <t>religious text</t>,<t>ezra</t>: a Jewish priest and scribe sent by the Persian king to restore Jewish law and worship in Jerusalem,<t>allegory</t>: a short moral story (often with animal characters)
318941,victim,scapegoat,avenger,"Don’t start getaway, then vigorously attack <t>victim</t>",<t>scapegoat</t>: someone who is punished for the errors of others,<t>avenger</t>: someone who takes vengeance
318942,citadel,acropolis,pagodas,Group erected storage unit to support a <t>citadel</t>,<t>acropolis</t>: the citadel in ancient Greek towns,<t>pagodas</t>: an Asian temple; usually a pyramidal tower with an upward curving roof
318953,Huge,giant,teeny,<t>Huge</t> soldier at Fort Bragg pursued by another?,<t>giant</t>: any creature of exceptional size,<t>teeny</t>: (used informally) very small
318960,Hide,skin,shed,<t>Hide</t> singular relationship,<t>skin</t>: a natural protective body covering and site of the sense of touch,<t>shed</t>: an outbuilding with a single story; used for shelter or storage
318961,Guiding light,beacon,prima_donna,<t>Guiding light</t> to adopt right-wing views,<t>beacon</t>: a fire (usually on a hill or tower) that can be seen from a distance,<t>prima donna</t>: a vain and temperamental person
318965,chambers,atria,cottage,Advanced examination incomplete in <t>chambers</t>,<t>atria</t>: any chamber that is connected to other chambers or passageways (especially one of the two upper chambers of the heart),<t>cottage</t>: a small house with a single story
318970,Remove,doff,scrapped,<t>Remove</t> some appointed officers,<t>doff</t>: remove,<t>scrapped</t>: dispose of (something useless or old)
318974,Drunk,tipsy,mollycoddle,<t>Drunk</t> shoots Yankee,<t>tipsy</t>: slightly intoxicated,<t>mollycoddle</t>: a pampered darling; an effeminate man
318983,Square,quits,oblong,<t>Square</t> leaves,<t>quits</t>: put an end to a state or an activity,<t>oblong</t>: a plane figure that deviates from a square or circle due to elongation
318984,Changing,reforming,upturns,"<t>Changing</t> school lesson, class sings unrestrictedly",<t>reforming</t>: make changes for improvement in order to remove abuse and injustices,<t>upturns</t>: an upward movement or trend as in business activity
318992,smelly,odorous,fetid,"Totally stripped, body more lousy and <t>smelly</t>",<t>odorous</t>: having odor or a characteristic odor,<t>fetid</t>: offensively malodorous
318995,awards,decorations,emmys,End of year speeches for <t>awards</t>,<t>decorations</t>: something used to beautify,<t>emmys</t>: an annual award by the Academy of Television Arts and Sciences for outstanding achievements in television
318999,Pets,huffs,pats,"<t>Pets</t> husband shackles, apart from Charlie",<t>huffs</t>: a state of irritation or annoyance,<t>pats</t>: the sound made by a gentle blow
319000,Fliers,aircrew,cyclists,"<t>Fliers</t> are clutching birch, stripping sides before week",<t>aircrew</t>: the crew of an aircraft,<t>cyclists</t>: a person who rides a bicycle
319004,Bury,lay_to_rest,roped,<t>Bury</t> the French unknown soldiers in ordeal,<t>lay to rest</t>: place in a grave or tomb,<t>roped</t>: catch with a lasso
319007,Sausage,chorizo,club_steak,<t>Sausage</t> preserved in aspic horizontally,<t>chorizo</t>: a spicy Spanish pork sausage,<t>club steak</t>: small steak from the front of the short loin of beef
319009,Colour,amber,tinctures,<t>Colour</t> of judicial hall overlooking church,<t>amber</t>: a deep yellow color,<t>tinctures</t>: a substances that colors metals
319023,Fastener,stud,braces,"<t>Fastener</t> securing tree unfortunately damaged, initially",<t>stud</t>: a man who is virile and sexually active,<t>braces</t>: an appliance that corrects dental irregularities
319037,Arrest,nick,passing,<t>Arrest</t> Christmas saint?,<t>nick</t>: an impression in a surface (as made by a blow),<t>passing</t>: (American football) a play that involves one player throwing the ball to a teammate
319041,band,wedding_ring,web,We make a call about going on without a <t>band</t>,<t>wedding ring</t>: a ring (usually plain gold) given to the bride (and sometimes one is also given to the groom) at the wedding,<t>web</t>: an intricate network suggesting something that was formed by weaving or interweaving
319052,Fault,demerit,forbiddance,<t>Fault</t> of French and Italian blocking me on river,<t>demerit</t>: a mark against a person for misconduct or failure; usually given in school or armed forces,<t>forbiddance</t>: an official prohibition or edict against something
319059,shopkeeper,greengrocer,hotelier,New and reportedly coarser <t>shopkeeper</t>,<t>greengrocer</t>: a grocer who sells fresh fruits and vegetables,<t>hotelier</t>: an owner or manager of hotels
319061,messenger,apostle,rapporteur,Porter collecting mail for <t>messenger</t>,<t>apostle</t>: an ardent early supporter of a cause or reform,<t>rapporteur</t>: a recorder appointed by a committee to prepare reports of the meetings
319067,Rogue,scapegrace,prankster,"<t>Rogue</t> discovered absconder returning, say, to pinch vehicle",<t>scapegrace</t>: a reckless and unprincipled reprobate,<t>prankster</t>: someone who plays practical jokes on others
319068,Tree,lime,thickets,<t>Tree</t> branch pruned with minimum of energy,<t>lime</t>: a caustic substance produced by heating limestone,<t>thickets</t>: a dense growth of bushes
319072,Offended,miffed,badgered,<t>Offended</t> whenever served meal after Mike,<t>miffed</t>: cause to be annoyed,<t>badgered</t>: annoy persistently
319077,undergraduate,student,enlistee,Daring act involving extremely desperate <t>undergraduate</t>,<t>student</t>: a learner who is enrolled in an educational institution,<t>enlistee</t>: any new member or supporter (as in the armed forces)
319079,exaggerated,camp,exalted,Projection supported by pollster at first is <t>exaggerated</t>,<t>camp</t>: temporary living quarters specially built by the army for soldiers,"<t>exalted</t>: praise, glorify, or honor"
319086,fragrant,redolent,cloddish,"Raised occasionally tender, large foreign flower that’s <t>fragrant</t>",<t>redolent</t>: serving to bring to mind; - Wilder Hobson,<t>cloddish</t>: heavy and dull and stupid
319088,Funny,amusing,digressive,<t>Funny</t> man is excited to entertain posh gathering finally,"<t>amusing</t>: occupy in an agreeable, entertaining or pleasant fashion",<t>digressive</t>: of superficial relevance if any
319091,disadvantage,downside,consequences,County team’s <t>disadvantage</t>,<t>downside</t>: a negative aspect of something that is generally positive,<t>consequences</t>: a phenomenon that follows and is caused by some previous phenomenon
319094,total,come_to,tall,Arrive at <t>total</t>,<t>come to</t>: cause to experience suddenly,<t>tall</t>: a garment size for a tall person
319095,art gallery,louvre,grillroom,Various bits of velour in <t>art gallery</t>,<t>louvre</t>: an art museum that is a famous tourist attraction in Paris,<t>grillroom</t>: a restaurant where food is cooked on a grill
319108,finish,wind_up,lead-in,Worried person is said to have this <t>finish</t>,<t>wind up</t>: finally be or do something,<t>lead-in</t>: the introductory section of a story
319111,Affirm,avouch,tells,"<t>Affirm</t>, using Bible with an expression suggesting pain",<t>avouch</t>: admit openly and bluntly; make no bones about,<t>tells</t>: a Swiss patriot who lived in the early 14th century and who was renowned for his skill as an archer; according to legend an Austrian governor compelled him to shoot an apple from his son's head with his crossbow (which he did successfully without mishap)
319116,Valve,stopcock,vein,<t>Valve</t> head of plumbing company installed in store,<t>stopcock</t>: faucet consisting of a rotating device for regulating flow of a liquid,<t>vein</t>: a blood vessel that carries blood from the capillaries toward the heart
319120,Occupant,tenant,warder,<t>Occupant</t> dealt with by letter,<t>tenant</t>: someone who pays rent to use land or a building or a car that is owned by someone else,<t>warder</t>: a person who works in a prison and is in charge of prisoners
319125,Express,fast,inscribe,<t>Express</t> firm seeking excitement,<t>fast</t>: abstaining from food,"<t>inscribe</t>: carve, cut, or etch into a material or surface"
319128,danger,risk,drawback,Search force missing <t>danger</t>,<t>risk</t>: a source of danger; a possibility of incurring loss or misfortune,<t>drawback</t>: the quality of being a hindrance
319131,despot,tsar,matriarch,Religious follower mostly backing <t>despot</t>,<t>tsar</t>: a male monarch or emperor (especially of Russia prior to 1917),<t>matriarch</t>: a female head of a family or tribe
319136,alloy,stainless_steel,dressings,Spot nerve cut by inferior <t>alloy</t>,<t>stainless steel</t>: steel containing chromium that makes it resistant to corrosion,<t>dressings</t>: savory dressings for salads; basically of two kinds: either the thin French or vinaigrette type or the creamy mayonnaise type
319151,police force,interpol,police_constable,Topliner running <t>police force</t>,<t>interpol</t>: an international intelligence agency permitting collaboration among intelligence agencies around the world,<t>police constable</t>: a police officer of the lowest rank
319156,Staunch,stem,impetuous,<t>Staunch</t> good man having me back,<t>stem</t>: (linguistics) the form of a word after all affixes are removed,<t>impetuous</t>: characterized by undue haste and lack of thought or deliberation; ; ; ; ; (`brainish' is archaic)
319169,Reverse,retrograde,netting,<t>Reverse</t>: regret road crumbling,"<t>retrograde</t>: move backward in an orbit, of celestial bodies",<t>netting</t>: a net of transparent fabric with a loose open weave
319170,Long-suffering,patient,unremorseful,<t>Long-suffering</t> doctor’s client,<t>patient</t>: a person who requires medical care,<t>unremorseful</t>: not penitent or remorseful
319178,ceremony,rite,musings,Irish broadcaster covering international <t>ceremony</t>,<t>rite</t>: an established ceremony prescribed by a religion,"<t>musings</t>: a calm, lengthy, intent consideration"
319192,Check in,register,dining,<t>Check in</t> ledger,<t>register</t>: an official written record of names or events or transactions,<t>dining</t>: the act of eating dinner
319192,ledger,register,charter,Check in <t>ledger</t>,<t>register</t>: an official written record of names or events or transactions,<t>charter</t>: a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation
319194,Flower,rhine,china_rose,<t>Flower</t> power’s last hour on popular drug,<t>rhine</t>: United States parapsychologist (1895-1980),<t>china rose</t>: shrubby Chinese rose; ancestor of many cultivated garden roses
319211,Pressed,exerted,fined,<t>Pressed</t> city promoting River Dee,<t>exerted</t>: put to use,<t>fined</t>: issue a ticket or a fine to as a penalty
319213,Worked up,excited,unfettered,"<t>Worked up</t> about copyright, left",<t>excited</t>: arouse or elicit a feeling,<t>unfettered</t>: not bound by shackles and chains
319215,Trifling,frivolous,bluffer,<t>Trifling</t> ‘solid of revolution’ reconstructed in Toledo strangely vanishes,<t>frivolous</t>: not serious in content or attitude or behavior,<t>bluffer</t>: a person who tries to bluff other people
319217,vessels,ewers,potsherd,Last of tourists moving to east in channel <t>vessels</t>,<t>ewers</t>: an open vessel with a handle and a spout for pouring,<t>potsherd</t>: a shard of pottery
319223,Pardon,reprieve,blessing,<t>Pardon</t> that is pre-empting nothing in censure,<t>reprieve</t>: a (temporary) relief from harm or discomfort,<t>blessing</t>: the formal act of approving
319226,Saw,beheld,surveyed,<t>Saw</t> six-footer introducing husband and lord,<t>beheld</t>: see with attention,<t>surveyed</t>: consider in a comprehensive way
319229,Required,enjoined,mustered,<t>Required</t> target limiting associate employment at first,<t>enjoined</t>: issue an injunction,<t>mustered</t>: gather or bring together
319249,hatchet job,calumny,foul_play,Silly goon excluded from moving agony column’s <t>hatchet job</t>,<t>calumny</t>: a false accusation of an offense or a malicious misrepresentation of someone's words or actions,<t>foul play</t>: unfair or dishonest behavior (especially involving violence)
319254,Notice,dismissal,sign,<t>Notice</t> southern girl wearing ring,<t>dismissal</t>: a judgment disposing of the matter without a trial,<t>sign</t>: a perceptible indication of something not immediately apparent (as a visible clue that something has happened)
319264,put down,entered,engraft,"Tree with lowered resistance, in consequence <t>put down</t>",<t>entered</t>: to come or go into,<t>engraft</t>: cause to grow together parts from different plants
319265,Curiously,oddly,outrageously,<t>Curiously</t> evenly folded clays,<t>oddly</t>: in a manner differing from the usual or expected,<t>outrageously</t>: in a very offensive manner
319266,Limits,range,regulations,<t>Limits</t> of country estate with first of gardeners gone,<t>range</t>: an area in which something acts or operates or has power or control:,<t>regulations</t>: an authoritative rule
319271,river,severn,andes,Always filling tin in <t>river</t>,<t>severn</t>: a river in Ontario that flows northeast into Hudson Bay,<t>andes</t>: a mountain range in South America running 5000 miles along the Pacific coast
319297,Craft,industry,know-how,<t>Craft</t> seen in River Test,<t>industry</t>: the people or companies engaged in a particular kind of commercial enterprise,<t>know-how</t>: the (technical) knowledge and skill required to do something
319310,Try,endeavour,doing,<t>Try</t> to finish always as you might say,<t>endeavour</t>: a purposeful or industrious undertaking (especially one that requires effort or boldness),<t>doing</t>: engage in
319314,composer,liszt,fantasist,Elizabeth welcoming second time by <t>composer</t>,<t>liszt</t>: Hungarian composer and piano virtuoso (1811-1886),<t>fantasist</t>: a creator of fantasies
319316,relapse,backslide,slapdash,Bottom line included <t>relapse</t>,"<t>backslide</t>: drop to a lower level, as in one's morals or standards",<t>slapdash</t>: marked by great carelessness
319321,Kid,sprog,dwarf,<t>Kid</t> singing to open TV show,<t>sprog</t>: a new military recruit,<t>dwarf</t>: a person who is markedly small
319323,Humiliated,abased,depraved,<t>Humiliated</t> by answer when caught in bed,<t>abased</t>: cause to feel shame; hurt the pride of,<t>depraved</t>: corrupt morally or by intemperance or sensuality
319332,Exhausted,all_in,embattled,"<t>Exhausted</t>, ringing endlessly",<t>all in</t>: very tired,<t>embattled</t>: fortify by furnishing with battlements for defense
319341,Rogue,scoundrel,casanova,<t>Rogue</t> doctor accepted by newly-trained counsel,<t>scoundrel</t>: a wicked or evil person; someone who does evil deliberately,<t>casanova</t>: an Italian adventurer who wrote vivid accounts of his sexual encounters (1725-1798)
319343,Brine,seawater,fortified_wine,<t>Brine</t> causing wet areas to be redeveloped,<t>seawater</t>: water containing salts,<t>fortified wine</t>: wine to which alcohol (usually grape brandy) has been added
319349,Refuse,scraps,withdrawing,<t>Refuse</t> fights,<t>scraps</t>: food that is discarded (as from a kitchen),<t>withdrawing</t>: pull back or move away or backward
319349,fights,scraps,deserts,Refuse <t>fights</t>,<t>scraps</t>: food that is discarded (as from a kitchen),<t>deserts</t>: an outcome (good or bad) that is well deserved
319354,bail out,eject,nabs,"Losing head, refuse <t>bail out</t>",<t>eject</t>: put out or expel from a place,<t>nabs</t>: tag the base runner to get him out
319355,stores,squirrels,hoard,"Fighting on board, making a start to impound <t>stores</t>",<t>squirrels</t>: a kind of arboreal rodent having a long bushy tail,<t>hoard</t>: a secret store of valuables or money
319360,worms,squirms,sucker,Nearly jet south to net minute <t>worms</t>,<t>squirms</t>: the act of wiggling,<t>sucker</t>: a person who is gullible and easy to take advantage of
319371,Drink,aperitif,suckling,<t>Drink</t> vermouth provided after topless frolic,<t>aperitif</t>: alcoholic beverage taken before a meal as an appetizer,<t>suckling</t>: English poet and courtier (1609-1642)
319379,Guru,swami,statesman,<t>Guru</t> succeeded with friend,<t>swami</t>: a Hindu religious teacher; used as a title of respect,<t>statesman</t>: a man who is a respected leader in national or international affairs
319383,Rubbish,garbage,nix,<t>Rubbish</t> bin initially dumped in filling station,<t>garbage</t>: food that is discarded (as from a kitchen),<t>nix</t>: a quantity of no importance
319384,Mascot,good_luck_charm,prima_donnas,<t>Mascot</t> found in cargo hold — muck all over the place,<t>good luck charm</t>: something believed to bring good luck,<t>prima donnas</t>: a vain and temperamental person
319385,Auditor,listener,constable,<t>Auditor</t> set out on board ship,<t>listener</t>: someone who listens attentively,<t>constable</t>: a lawman with less authority and jurisdiction than a sheriff
319386,Mum,silent,bambinos,<t>Mum</t> may see son fast after Italy,<t>silent</t>: marked by absence of sound,<t>bambinos</t>: a young child
319387,on fire,alight,tumesce,Land <t>on fire</t>,"<t>alight</t>: to come to rest, settle",<t>tumesce</t>: expand abnormally
319388,Shame,disgrace,pity,<t>Shame</t> detective’s good with people,<t>disgrace</t>: a state of dishonor,<t>pity</t>: a feeling of sympathy and sorrow for the misfortunes of others
319390,as a group,en_masse,consortia,Line dismissed by travelling salesmen <t>as a group</t>,<t>en masse</t>: all together,<t>consortia</t>: an association of companies for some definite purpose
319391,substitute,reserve,replacement,Good wine <t>substitute</t>?,<t>reserve</t>: formality and propriety of manner,<t>replacement</t>: the act of furnishing an equivalent person or thing in the place of another
319394,A great deal,raft,tot,<t>A great deal</t> of time needed to support flyers,<t>raft</t>: a flat float (usually made of logs or planks) that can be used for transport or as a platform for swimmers,<t>tot</t>: a small amount (especially of a drink)
319398,Sense,logic,ignorance,<t>Sense</t> record must be on since dropping odds,<t>logic</t>: the branch of philosophy that analyzes inference,<t>ignorance</t>: the lack of knowledge or education
319405,Country,austria,metropolis,<t>Country</t> song keeping us tense,<t>austria</t>: a mountainous republic in central Europe; under the Habsburgs (1278-1918) Austria maintained control of the Holy Roman Empire and was a leader in European politics until the 19th century,<t>metropolis</t>: a large and densely populated urban area; may include several independent administrative districts
319407,rain,pelt,mists,Hide from <t>rain</t>,<t>pelt</t>: the dressed hairy coat of a mammal,<t>mists</t>: a thin fog with condensation near the ground
319408,Troop,school,barracks,<t>Troop</t> train,<t>school</t>: an educational institution,<t>barracks</t>: a building or group of buildings used to house military personnel
319414,Queen,rani,patroness,Showed Island <t>Queen</t>,<t>rani</t>: (the feminine of raja) a Hindu princess or the wife of a raja,<t>patroness</t>: a woman who is a patron or the wife of a patron
319417,Dimension,time,bar_graph,<t>Dimension</t> of centimetre in wall of heart,<t>time</t>: an instance or single occasion for some event,<t>bar graph</t>: a chart with bars whose lengths are proportional to quantities
319433,Rotisserie,turnspit,saucepan,<t>Rotisserie</t> cooks put in request for vacation with just a hint of sarcasm,<t>turnspit</t>: a roasting spit that can be turned,<t>saucepan</t>: a deep pan with a handle; used for stewing or boiling
319440,Spud,tater,sages,<t>Spud</t> that’s less hard: I’m not sure,<t>tater</t>: an edible tuber native to South America; a staple food of Ireland,<t>sages</t>: a mentor in spiritual and philosophical topics who is renowned for profound wisdom
319445,Rat,knave,drone,<t>Rat</t> pack member?,<t>knave</t>: a deceitful and unreliable scoundrel,<t>drone</t>: stingless male bee in a colony of social bees (especially honeybees) whose sole function is to mate with the queen
319463,figure,eighty,epitome,Scalp important <t>figure</t>,<t>eighty</t>: the cardinal number that is the product of ten and eight,<t>epitome</t>: a standard or typical example
319467,Mean,tight,surcharge,<t>Mean</t> to get wasted,<t>tight</t>: closely constrained or constricted or constricting,<t>surcharge</t>: an additional charge (as for items previously omitted or as a penalty for failure to exercise common caution or common skill)
319470,show,reveal,signalled,Wingers of value in one Madrid team for <t>show</t>,<t>reveal</t>: make visible,<t>signalled</t>: communicate silently and non-verbally by signals or signs
319474,Fish,hake,swordfish,<t>Fish</t> convulse when beheaded,<t>hake</t>: the lean flesh of a fish similar to cod,<t>swordfish</t>: flesh of swordfish usually served as steaks
319479,Creature,being,organisms,<t>Creature</t> in riotous binge,<t>being</t>: the state or fact of existing,<t>organisms</t>: a living thing that has (or can develop) the ability to act or function independently
319484,party,bash,guild,Bishop has spoiled <t>party</t>,<t>bash</t>: a vigorous blow,<t>guild</t>: a formal association of people with similar interests
319491,well-proportioned,handsome,cissy,Carriage said to be <t>well-proportioned</t>,<t>handsome</t>: pleasing in appearance especially by reason of conformity to ideals of form and proportion; ; ; ; - Thackeray; - Lillian Hellman,<t>cissy</t>: having unsuitable feminine qualities
319500,Labourer,heracles,handymen,<t>Labourer</t>? I give you about one hundred pounds,<t>heracles</t>: (classical mythology) a hero noted for his strength; performed 12 immense labors to gain immortality,<t>handymen</t>: a man skilled in various odd jobs and other small tasks
319519,Actor,bruce_lee,spear_carrier,<t>Actor</t> arresting Anglican is burnt in Rouen,<t>bruce lee</t>: United States actor who was an expert in kung fu and starred in martial arts films (1941-1973),<t>spear carrier</t>: a minor actor in crowd scenes
319529,troublemaker,pest,alarmists,Exercise on street to get <t>troublemaker</t>,<t>pest</t>: a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal,<t>alarmists</t>: a person who alarms others needlessly
319532,head,cape,ossa,Recognition of sporting achievement presented by English <t>head</t>,<t>cape</t>: a strip of land projecting into a body of water,<t>ossa</t>: a mouth or mouthlike opening
319547,quick,rapid,stiff,Speech to musical background — I had to be <t>quick</t>,<t>rapid</t>: a part of a river where the current is very fast,<t>stiff</t>: an ordinary man
319548,recognised,discerned,accredited,Norfolk town deserved to be heard and <t>recognised</t>,<t>discerned</t>: detect with the senses,<t>accredited</t>: grant credentials to
319554,Writer,ibsen,stendhal,<t>Writer</t> using a selection of nibs enthusiastically,<t>ibsen</t>: realistic Norwegian author who wrote plays on social and political themes (1828-1906),<t>stendhal</t>: French writer whose novels were the first to feature psychological analysis of the character (1783-1842)
319564,subside,fall,shrinking,River and lake <t>subside</t>,<t>fall</t>: the season when the leaves fall from the trees,<t>shrinking</t>: process or result of becoming less or smaller
319568,dish,chow_mein,hulls,Dog beginning to munch a foreign <t>dish</t>,<t>chow mein</t>: chop suey served with fried noodles,<t>hulls</t>: dry outer covering of a fruit or seed or nut
